Date,weekday,Margin,All position,Equity,Return,Trade pnl,Trade pnl buy,Trade pnl sell,MTM,GC001+Stock divs+Interest,Net,Actual Change,Note,Delta bought,Delta Sold,Rtn on +D,Rtn on -D,Delta close,IB Close,NetPtf,Deposit (in RMB),,Actual ptf change
2017/4/24,1,0,1856230,1856230,-0.0066,-6411.19,-7547.77,1136.58,-5983,131.44444,-12262.75,-12243.92,market single biggest drop in the year. There were chances to liquidate MTM positions at flat. Buying was overzealous but no sharpe today. Be careful of buying when f10 is negative. Market never touched ytd close. MTM losing -50k since inception.,974351,348354,-0.008,0.003,1274168,878300,2647491,,-0.0069,-18280
2017/4/25,2,0,1879575,1879575,0.0126,-43245.11,1052.56,-44297.67,66785,-193.84722,23346.04,23345.56,"short delta lost too much, otherwise ok. 索非亚 tax on dividends 20% on 1260 is 252. Dividend is a big risk. Check dividend schedule",765358,990714,0.001,-0.045,1048811,888700,2680206,,0.0124,32715
2017/4/26,3,0,1911772,1911772,0.0171,-2549.29,-599.5,-1949.79,34639,103.9027777,32193.61,32197.22,ok,397500,800216,-0.002,-0.002,646095,890000,2713574,,0.0124,33368
2017/4/27,4,0,1920033,1920033,0.0043,7069.67,7424.87,-355.2,1128,71.125,8268.8,8260.39,not much to buy at the close. Tmrw not good due to today V. Today's recovery is a result of ytd's neg pm,534498,295996,0.014,-0.001,884597,890900,2722645,,0.0033,9071
2017/4/28,5,0,1919438,1919438,-0.0003,-2489.86,1237.47,-3727.32,1619,275.9444444,-594.92,-594.92,"lost big on 神雾环保. If you sell, at sell 1020.",64773,581422,0.019,-0.006,367948,1278706,3071425,340000,-0.0011,8780
2017/5/2,2,0,1922971,1922971,0.0018,1074.53,1239.68,-165.15,2250,208.166666,3532.7,3532.71,trading ok,737690,59961,0.002,-0.003,1045677,1271100,3068106,,-0.0011,-3320
2017/5/3,3,0,1923317,1923317,0.0002,2060.97,2626.44,-565.47,-1835,120.75,346.72,346.72,"markets weak, trading ok. 五粮液 well bought. Doesn't feel like Wednesday rebounding. Very weak. Couldn't sell zhong hua at the end.",700628,471238,0.004,-0.001,1275067,1267845,3065520,,-0.0008,-2586
2017/5/4,4,0,1910650,1910650,-0.0066,1900.22352,1834.38,65.85,-14605,36.16666,-12668.61,-12667.18,m2m was bad and didn't see during the pm rally. Thursday ch is bad. Positioned heavy for tomorrow due to today's /\ shape.,1483480,976836,0.001,0,1781712,1262569,3048100,,-0.0057,-17420
2017/5/5,5,0,1867088,1867088,-0.0228,-874.11,-536.88,-337.23,-42699,11.388888,-43561.72,-43561.72,mtm negative on the bought stocks due to market weakness. There was no rebound and ptf closed at absolute lows. Regulatory pressure increasing on stocks. Thurs buying was aggressive.,208586,518562,-0.003,-0.001,1471736,1257002,2999523,,-0.0159,-48577
2017/5/8,1,0,1811639,1811639,-0.0297,-7925.61,-7692.82,-232.79,-47524,0,-55449.61,-55449.59,Mtm was bad on the Xiong an positions which were oversized on thurs. Could not sell them on fri close and they dropped without any rebound on mon. We are bad to the beginning of the year ptf levels.,543683,191569,-0.014,-0.001,1823850,1251704,2939300,,-0.0201,-60223
2017/5/9,2,0,1824015,1824015,0.0068,1090.51,7533.58,-6443.07,11286,0,12376.51,12376.56,Got rid of toxic pos. All in good quality stocks. Trade around the pos is fine. Now market is at the low level. Hold onto the pos.,860401,731733,0.009,-0.009,1952518,1259430,2958637,,0.0066,19337
2017/5/10,3,0,1824122,1824122,0.0001,-198.3,-910.49,712.19,306,0,107.7,106.7,ok day. Market accelerated selling off but ptf was fine due to solid blue chip exposure,184060,94005,-0.005,0.008,2042573,1267197,2965741,,0.0024,7104
2017/5/11,4,0,1839835,1839835,0.0086,0,0,0,15713,0,15713,15713,stocks rebounded in the pm due to ytd closing low,0,0,,,2042573,1285274,2997740,,0.0108,31999
2017/5/12,5,0,1847631,1847631,0.0042,0,0,0,7796,0,7796,7796,"stocks ok, futures outperformed since big caps were doing well",0,0,,,2042573,1322672,3039227,,0.0138,41488
2017/5/15,1,0,1868845,1868845,0.0115,-137.54,60.38,-197.92,21352,0,21214.46,21214.46,ok,48080,229436,0.001,-0.001,1861217,1322854,3060606,,0.007,21378
2017/5/16,2,0,1903911,1903911,0.0188,302.37,1890.85,-1588.484,34769,-6,35065.37,35065.39,"ok, cutting was a bit too early and incurred some loss",95730,541370,0.02,-0.003,1415577,1322396,3095259,,0.0113,34653
2017/5/17,3,0,1890223,1890223,-0.0072,-535.42,-3513.76,2978.34,-13213,60.25,-13688.17,-13688.2,blue chips fell back a little,722798,143052,-0.005,0.021,1995322,1314178,3074167,,-0.0068,-21092
2017/5/18,4,0,1879274,1879274,-0.0058,722.15,392.79,329.36,-11671,0,-10948.85,-10948.85,blue chips continue to underperform. XU at lowest of the week. Picked up some pos here. ,91478,49710,0.004,0.007,2037090,1303976,3054027,,-0.0066,-20140
2017/5/19,5,0,1903986,1903986,0.0131,-201.6,0,201.6,24914,0,24712.4,24712.4,,0,168000,,0.001,1869090,1311175,3085225,,0.0102,31198
2017/5/22,1,0,1920511,1920511,0.0087,-754.61,-754.61,0,17279,0,16524.39,16524.39,,148238,0,-0.005,,2017328,1328304,3117181,,0.0104,31956
2017/5/23,2,0,1954251,1954251,0.0176,-5458.04,2059.39,-7517.43,39198,0,33739.96,33739.95,selling too early on two stocks. 福耀 and 招行,223668,201207,0.009,-0.037,2039789,1643140,3434557,231200,0.0276,86176
2017/5/24,3,0,1955085,1955085,0.0004,1598.02,1332.85,265.17,-762,-2,834.02,834.03,"Panic selloff until 9:45, and rebounded 30k after, closing flat. Bought back 小天鹅 and sold supor going ex tmr",185750,389858,0.007,0.001,1835681,1641301,3433734,,-0.0002,-823
2017/5/25,4,0,1958037,1958037,0.0015,1138.8,1400.46,-261.66,1801,14.4444,2954.24,2952.84,,289244,118575,0.005,-0.002,2006350,1697607,3487413,,0.0156,53679
2017/5/26,5,0,1957469,1957469,-0.0003,0,0,0,-568,0,-568,-568,,0,0,,,2006350,1697607,3486845,,-0.0002,-568
2017/5/31,3,0,1954151,1954151,-0.0017,-260.44,-18.84,-241.6,-3058,0,-3318.44,-3318.45,PM play at its best.,199756,182660,0,-0.001,2023446,1694821,3481017,,-0.0017,-5828
2017/6/1,4,0,1973567,1973567,0.0099,-149.31,-149.31,0,19565,0,19415.69,19415.69,"mtm ok. Thurs small caps weaks. Big caps strong. Guangqi underperformed, too much pos on this.",15378,0,-0.01,,2038824,1702829,3507647,,0.0077,26630
2017/6/2,5,0,1976830,1976830,0.0017,-239.86,47.82,-287.68,3503,0,3263.14,3263.14,,191216,235800,0,-0.001,1994240,1696435,3505150,,-0.0007,-2497
2017/6/5,1,0,1973719,1973719,-0.0016,504.22,270.85,233.36,-3615,0,-3110.78,-3110.81,big caps underperformed.,95798,143030,0.003,0.002,1947008,1687108,3493636,,-0.0033,-11514
2017/6/6,2,0,2000934,2000934,0.0138,2875,3221.58,-346.92,24418,0,27292.66,27214.68,,212558,473827,0.015,-0.001,1685739,1699605,3532109,,0.011,38473
2017/6/7,3,0,2023289,2023289,0.0112,717.28,782.56,-65.28,21613,25.5833333,22355.86,22355.47,ok,170127,117249,0.005,-0.001,1738617,1717879,3570928,,0.011,38819
2017/6/8,4,0,2054800,2054800,0.0156,-3171.35,0,0,34661,19.4166666,31509.07,31510.7,selling some stocks too early.Did not expect such a strong market,0,430236,,0,1308381,1980956,3839445,217600,0.0143,50917
2017/6/9,5,0,2062524,2062524,0.0038,373.61,373.61,0,7192,51.688888,7617.3,7724.28,markets in greed mode,337168,0,0.001,,1645549,1988410,3853884,,0.0038,14440
2017/6/12,1,0,2077392,2077392,0.0072,227.94,318.11,-90.17,14617,22.9166666,14867.86,14867.53,markets confused.,359460,75140,0.001,-0.001,1929869,1981327,3862371,,0.0022,8486
2017/6/13,2,0,2089255,2089255,0.0057,1379.42,1819.89,-440.47,10486,-2,11863.42,11863.43,financials suffering. Rest of market strong. Risk preference up,100528,307164,0.018,-0.001,1723233,1982381,3875184,,0.0033,12813
2017/6/14,3,0,2046042,2046042,-0.0207,-4219.42,-4219.42,0,-39010,16.8055556,-43212.61,-43212.71,Big caps crashed.Closing at the lows. ,323636,0,-0.013,,2046869,1949626,3802462,,-0.0188,-72722
2017/6/15,4,0,2040740,2040740,-0.0026,-143.79,0,-143.79,-5159,0,-5302.79,-5302.79,big caps continue dropping but not too much,0,27700,,-0.005,2019169,1924952,3774931,,-0.0072,-27532
2017/6/16,5,0,2035139,2035139,-0.0027,0,0,0,-5557,-44,-5601,-5601,diff is tax on 广汽 44 rmb,0,0,,,2019169,1921615,3766323,,-0.0023,-8607
2017/6/19,1,0,2052765,2052765,0.0087,-76.51,425.62,-502.13,17703,0,17626.49,17626.49,"markets rebounded a bit, ok",72983,195991,0.006,-0.003,1896161,1950841,3810279,,0.0117,43956
2017/6/20,2,0,2043918,2043918,-0.0043,-248.25,-466.55,218.3,-8599,0,-8847.25,-8847.29,"opened up, quickly sold off, closed at low",325992,193077,-0.001,0.001,2029076,1939197,3790942,,-0.0051,-19337
2017/6/21,3,0,2086395,2086395,0.0208,-3904.52,-1169.84,-2734.68,46332,0,42427.48,42476.93,"trade pnl bad, east money dropped 2.4%. Focus on pmcl only pls. 海康 went into insane rally, down -1.6k on trade",49200,626535,-0.024,-0.004,1451741,1971193,3862244,,0.0188,71302
2017/6/22,4,0,2082910,2082910,-0.0017,-2452.97,-739.52,-1713.44,1016,-2047.8,-3484.77,-3484.76,"strange pnl, investigate tomorrow morning. (result was it was taxes being deducted using FIFO principle) (2044.8 was dividend tax from selling near dated inventory)",252564,43800,-0.003,-0.039,1660505,1981054,3867643,,0.0014,5399
2017/6/23,5,0,2095485,2095485,0.006,-5286.42,1281.32,-6567.73,18125,-263.30137,12575.28,12575.27,"liquidated 东财, weak stock don't participate going forward. Pmcl trading was good on 福耀, 广汽 had a good run. Going forward focus more heavily on pm trading, as these offer safer returns with incredible sharpe ratio. Note new method in calculating GC001 returns, thurs it is 3*rate/365",48545,537085,0.026,-0.012,1171965,1988776,3887175,,0.0051,19532
2017/6/26,1,0,2107502,2107502,0.0057,0,0,0,8397,3620.08,12017.08,12017.08,"广汽tax:3500 shares ascquired before div ex date *0.22*0.2 = -154 in div taxes ( jun 15, 1000 already sold)",0,0,,,1171965,1999903,3909217,,0.0057,22041
2017/6/27,2,0,2109948,2109948,0.0012,0,0,0,1234,1212,2446,2446,浙商IPO yielding 1220,0,0,,,1171965,2000517,3912216,,0.0008,2999
2017/6/28,3,0,2091185,2091185,-0.0089,-1531.08,-1531.08,0,-22907,5674.35616,-18763.72,-18762.93,"new stocks yielded +5k. Mtm dropped -23, added 800k delta losing -0.2% on it costing -1.6k",825163,0,-0.002,,1997128,1994160,3887726,,-0.0063,-24490
2017/6/29,4,0,2104699,2104699,0.0065,0,0,0,10654,2860,13514,13514,"difficult day, pm move as a result of ytd weakness",0,0,,,1997128,2127016,4020930,108800,0.0063,24404
2017/6/30,5,0,2110484,2110484,0.0027,-452.91,-452.91,0,3898,2340,5785.09,5785.07,zheshang IPO opened,0,389733,,0,1607395,2123738,4023762,,0.0007,2832
2017/7/3,1,0,2082466,2082466,-0.0133,0,0,0,-29111,1092.52,-28018.48,-28018.48,"105.6 is from 中国人寿 div tax, 1100 from 5.31 and 1100 from 6.14. 1100*0.24*20% = 52.8. 21.88 is from taxes from liquidating new stock",0,0,,,1607395,2115818,3988608,,-0.0087,-35154
2017/7/4,2,0,2085795,2085795,0.0016,1000.875,1583.04,-582.17,478,1850,3328.88,3328.67,Ptf very weak. 大族 saved the day with up > 5%.,370168,345625,0.004,-0.002,1631937,2105763,3982878,,-0.0014,-5730
2017/7/5,3,0,2124895,2124895,0.0187,3269.66,3664.48,-394.83,33844,1986.8,39100.46,39100.45,"wrong pnl in the trading system, double check. Due to wrong price in the system for merchant securities. Double check on taxes. 中国人寿 tax : 6.14 900*0.24*0.2=43.2",221266,355380,0.017,-0.001,1497823,2130289,4044074,,0.0154,61196
2017/7/6,4,0,2132193,2132193,0.0034,1999.3,2298.37,-299.07,3225.6,2073.2,7298.1,7298.1,招行tax 1100*0.74*0.2 = 162.8 tax done,241211,269087,0.01,-0.001,1469947,2131684,4052629,,0.0021,8555
2017/7/7,5,0,2118422,2118422,-0.0065,-273.56,647.69,-921.26,-16025.15,2528.561644,-13770.15,-13771.08,"net sold a lot of delta today. Liquidiated 福耀 小天鹅 and 中国人寿. Blue caps pos down to recent lows. Wait and see next week. Blue chips very weak today, underperforming the market by a lot. There is some 52.11 pnl missing from today.",161442,897298,0.004,-0.001,734091,2126936,4034581,,-0.0045,-18049
2017/7/10,1,0,2114122,2114122,-0.002,-187.25,647.69,-921.26,-5907,1794.06,-4300.19,-4300.2,"moutai tax: -135.7 (6.787*200*0.1 +200 shares from 5.31), 格力 396. Some PnL discrepany need to investigate. Expected this weak Monday. Tax on selling 三孚股份 is 35.82.",19619,116502,0.033,-0.008,637208,2131024,4033963,,-0.0002,-617
2017/7/11,2,0,2117363,2117363,0.0015,-1765.66,-1196.76,-568.9,4919,87.64383562,3240.98,3241.27,"trade pnl was at one point +10k, late pm was atrocious and gave all back. Net added 1m delta. Bought 1.4m delta sold -0.3 delta, netting +1.7m long. Small caps were killed following ytd's weak session. All cash back to big caps again.",1398018,334900,-0.001,-0.002,1700326,2151549,4055696,,0.0054,21732
2017/7/12,3,0,2126306,2126306,0.0042,78.5,2007.11,-1928.62,9024,-158.54795,8943.95,8943.11,"180 tax on gree (from 6.14 inventory of 600 shares.). Trading was too aggressive in the AM, reaching full position at very early stage of the day. Markets were choppy and things had been stressful and pnl is bad. Skip these morning trades as they increase psych burden with bad Sharpe. Move all these trades to pm to increase overall physical well being. Ptf reached the day high at 9:40 and this was a golden chance to offload a lot of positions, do that going forward and pick up in the pm. Same thing should be done for the futures. Be more conservative now and always offload in the AM and refrain from buying.",375571,907488,0.005,-0.002,1168409,2137948,4052386,,-0.0008,-3310
2017/7/13,4,0,2113387,2113387,-0.0061,-2950.09,-2383.86,-566.22,-10010,-4,-12964.09,-12919.68,"mtm pnl -10k. Losing big on 创业环保 and 三花智控. Addition of small stocks into the ptf need to be more careful. Stay away from small stocks. There is no advantage there. 三花 costing -9k. 1.5m delta on. Bought 1m delta and sold 650k. Get rid of all small stocks, they are not worth holding. Trading is much more difficult than previously. Make sure to control sizing well. Ytd buying of 三花智控 and 创业环保 are the reasons for the drop.",981384,653866,-0.002,-0.001,1495928,2160206,4059518,,0.0018,7133
2017/7/14,5,0,2128900,2128900,0.0073,-775.08,0,-775.08,16309,-74.81644,15459.1,15513.09,ok day. Trading was tame and some pos was cut.83.6 tax on 创业环保,0,593448,,-0.001,902480,2164729,4079106,,0.0048,19588
2017/7/17,1,0,2129142,2129142,0.0001,6666.56,7063.41,-396.85,-6153,-270.84,242.72,242.72,"hard day. Small caps crashed. Need to build futures system. 茅台 tax 135.74, 格力 216. Friday position cutting was very important and needed to practiced diligently going forward in this weak market.",828968,180068,0.009,-0.002,1551379,2167356,4081715,,0.0006,2609
2017/7/18,2,0,2115715,2115715,-0.0063,-2934.38,1573.38,-4507.76,-10523.8,30.63,-13427.55,-13427.56,Bought 1.4m of GC. Cut 900k position. Now remaining is 700k @ 30% position.,121000,1046370,0.013,-0.004,626009,2171895,4072377,,-0.0023,-9338
2017/7/19,3,0,2124714,2124714,0.0043,175.86,175.86,0,8713.65,109.34,8998.85,8998.84,"mtm for ytd's trading positionw as -36k, as risk preference came back. Buying 招行 ytd at lunch time was a good trade. Selling ytd COB caused some losses: 大族(-12k), 东方证券 (-12k), 陕西煤业 （-5k）, 海康 (-7k). This means that stock selection was fine. Just needed to hold on a bit more. Stocks are in general chosen in the right sectors and performing well although the position is only symbolic placeholders. The key going forward to control AM position sizing aggressively to eliminate AM downward swing, which taxes physical/mental health too much and the depletion of risk preference resulted in risk aversion at the day's end and therefore cutting position.",56885,0,0.003,,682894,2180052,4088725,,0.004,16347
2017/7/20,4,0,2130907,2130907,0.0029,-894.3,0,-894.3,6922.55,165.37,6193.62,6193.63,"very little trading done today. Market was much stronger than expected, showing bull market characteristics. Selling resulted in loss because market was way stronger than expected.",0,100276,,-0.009,582618,2181069,4095834,,0.0017,7110
2017/7/21,5,0,2127005,2127005,-0.0018,-2544.57,-2544.57,0,-1847.15,489.78,-3901.94,-3901.93,Markets had a mini crash into the pm to close off the week on a cautious note. Buying yielded very poor results. Pingan closed the week at the absolute lows with a naked lower candle. Not much positioning is on for the time being. Tax on 陕西煤业 is 33*0.2 = 6.6. You had 300 shares which yielded 33 rmb div.,111636,0,-0.023,,694254,2178861,4089943,,-0.0014,-5891
2017/7/24,1,0,2129195,2129195,0.001,-972.84,-972.84,0,3028.05,134.73,2189.94,2189.95,big caps continue to advance. Not much positioning,288876,0,-0.003,,983130,2180896,4093967,,0.001,4023
2017/7/25,2,0,2121443,2121443,-0.0036,-1116.42,-1116.42,0,-6775.05,137.05,-7754.42,-7752,markets failed to rebound. Packed on some delta which lost a bit. Tomorrow pm would be good to do some trading.,394588,0,-0.003,,1377718,2180200,4085587,,-0.002,-8379
2017/7/26,3,0,2115221,2115221,-0.0029,3163.78,3163.78,0,-9479.4,92.82,-6222.8,-6222.79,"did some T trading on 510050, rebound was weak but made some ok pl",706100,0,0.004,,2083818,2185992,4084583,,-0.0002,-1005
2017/7/27,4,0,2118035,2118035,0.0013,147.114,-166.8,300.656,2672.8,-5,2814.91,2814.92,Note that 510050 doesn't have stamp or guohu which is good. This is important for frequent trading. Play with PM gen rebound on index. Delta cut to 70%. ,54614,663005,-0.003,,1475427,2189773,4090804,,0.0015,6221
2017/7/28,5,0,2128347,2128347,0.0049,34.14,6.64,27.5,10116.95,160.48,10311.57,10311.58,Mtm was good. Stocks closed at their highest. Cut position to 60%.,18204,290580,0,,1203051,2190524,4101792,,0.0027,10988
2017/7/31,1,0,2127239,2127239,-0.0005,251.39,251.39,0,-1467.95,108.37,-1108.19,-1108.19,big caps underperformed the market. Overally traded fine. Tmr afternoon would be a good trade.,116442,0,0.002,,1319493,2191174,4101270,,-0.0001,-523
2017/8/1,2,0,2144215,2144215,0.008,2550.22,2550.22,0,14305.6,120.0959,16975.92,16975.92,"After ytd's weakness, big caps did well esp. insurers. Pingan up 5%. Rebound of Gree and moutai came very late in the day showing some sluggishness. Index etf was much more tradable which makes it more attractive to trade in general for margin trading. (1 rmb from bank was in the margin account)",604902,0,0.004,,1924395,2198432,4124784,1,0.0057,23514
2017/8/2,3,84071.12,2219394,2135323,-0.0041,210.03,210.03,0,-9097.45,0,-8887.42,-8891.85,"Took out 90k of loan from margin account for testing purposes, monitor rate changes and transaction costs etc. Plus: cut shit stocks (保利地产，中国建筑）. These stocks cost about 10k today. Make sure to kill them before Friday close.",128325,0,0.002,,2052720,2200726,4117959,,-0.0017,-6825
2017/8/3,4,645637.79,2740484,2094846,-0.019,-5353.22,-5353.22,0,-35106.55,-15.88,-40475.65,-40476.68,Erased the gains of last month. Market conditions start to be very difficult as singles get killed. Dropped 13k on 上汽集团。格力 -6k.,677400,0,-0.008,,2730120,2165217,4045492,,-0.0176,-72467
2017/8/4,5,0,2073704,2073704,-0.0101,-102.05,0,-102.05,-20901.95,-121.94,-21125.94,-21142.56,big caps continue to melt down closing at the lowest. 长电补跌 by over 3.5%. Accumulated too much delta mon-thurs and liquidated them at lows on Fri. Stock off peak by 3.5%. Mainly trade ETF going forward and be light on the singles.,0,2180120,,,550000,2152990,4013334,,-0.0079,-32158
